Country_Year,Happiness,GDP,Family,Health,Freedom,Generosity,Trust_gov
Switzerland_2015,1.0,0.826131967203417,0.9624027442003096,0.9182443306510606,0.9937885416511132,0.7605950245511044,0.372895411368548
Iceland_2015,0.9945240101095196,0.7704120869369743,1.0,0.9244964642770056,0.9388410254878832,0.25629178670435393,0.5481982208373122
Denmark_2015,0.987363100252738,0.7841128240318974,0.9702973121385222,0.8530992440868079,0.9696146208173444,0.8761754633907702,0.4289465748605318
Norway_2015,0.9863100252737992,0.8630991114634233,0.949166684495411,0.8634089246525238,1.0,0.6613940678733852,0.43598281147911744
Canada_2015,0.9663016006739681,0.7845919948888441,0.9432190154254296,0.8833260180443794,0.9451122093978169,0.5971444619593774,0.575601849525054
Finland_2015,0.961878685762426,0.7632718495995078,0.9401168139320941,0.8672128749085589,0.9581323817060604,0.7496149734558171,0.2933985022867769
Netherlands_2015,0.9559814658803704,0.7864554371103039,0.9129529392467712,0.8708510119483053,0.91941528675735,0.5764345636063851,0.5982057596622606
Sweden_2015,0.9530328559393428,0.7877982986476734,0.9192999721871592,0.8884369665935139,0.985173129470085,0.7944048848544145,0.4556214504699201
New Zealand_2015,0.9366048862679024,0.7395676814046213,0.941122355105796,0.8859985369422093,0.9546832305555971,0.7776992625609248,0.596836206463286
Australia_2015,0.9361836562763268,0.7889045326013653,0.9336770715217904,0.9086174103877104,0.9723918594060292,0.6457031037669184,0.5473438206764839
Israel_2015,0.9349199663016003,0.7267838761964484,0.8728453962616691,0.8913630821750793,0.6169501142251353,0.1410556068924281,0.41679650198522383
Costa Rica_2015,0.9239679865206402,0.5654097798180333,0.8827938355334004,0.8390831504511096,0.9462917892284951,0.19175227845119674,0.3203623661858571
Austria_2015,0.91849199663016,0.7910637593024218,0.9249837758427648,0.8684906120458425,0.9322114882116674,0.3383885053722527,0.415741066492436
Mexico_2015,0.91575400168492,0.6037197856154092,0.6521825948667479,0.7943818580833942,0.7194093142012452,0.38614991574713264,0.17683570387495606
United States_2015,0.901432181971356,0.8249488292850298,0.8893762078974206,0.8405657156791027,0.8153136338524479,0.2879092605678462,0.5039076242649646
Brazil_2015,0.872788542544229,0.5804711255191017,0.8792209551928002,0.6798536942209217,0.7323697609484419,0.3174611802648983,0.18311805799869327
Luxembourg_2015,0.8649957877000842,0.9251606109724212,0.8697788522567625,0.8963082175079249,0.919519806489182,0.6848580384482977,0.3522390310097
Ireland_2015,0.8637320977253579,0.790312466724246,0.9766443450789102,0.8732796878810046,0.922416496199961,0.5200666775380044,0.5767326732673268
Belgium_2015,0.863100252737995,0.7736657162125389,0.9168681314762914,0.8745866861741041,0.872739760799128,0.4083999202768567,0.27956475850630746
United Arab Emirates_2015,0.8555181128896374,0.8443286283882112,0.8028283519821999,0.7893196781272861,0.9579532050229196,0.6990813719628199,0.3320601095642559
United Kingdom_2015,0.8483572030328559,0.7491451828539653,0.9167397645179464,0.8870324311143624,0.8902841443566809,0.5810186443441865,0.652259134542896
Oman_2015,0.8454085930918278,0.8045988570887708,0.771499682648353,0.7439746403316264,0.9447687874217968,0.5892989799061441,0.2706689450670955
Singapore_2015,0.8338247683235043,0.9002851362383313,0.7274127639545582,1.0,0.8100577844803131,0.8916308818466778,0.3908252500376941
Panama_2015,0.8312973883740521,0.6291513351711409,0.8547099976466058,0.7769909778102903,0.8094306660893196,0.167962167744741,0.30700608131879176
Germany_2015,0.8237152485256949,0.7855562522923297,0.9266454148035632,0.8698951475249939,0.9179370791214368,0.3957710496276567,0.3545006784942453
Chile_2015,0.8068660488626789,0.6549555731711646,0.8019155202784138,0.8374250182882225,0.6589521150314305,0.2331720751571814,0.4191963612604915
Qatar_2015,0.7944397641112046,1.0,0.7692033403935161,0.7776932455498659,0.9562062323622952,0.9459513326448152,0.40927024174498666
France_2015,0.7868576242628473,0.7558949846783639,0.8988397053265156,0.9224969519629358,0.8213907096889791,0.3740827308800348,0.15494798210785546
Argentina_2015,0.7866470092670597,0.6232238142000213,0.8901749356382335,0.7678419897585954,0.6715243456318217,0.15372071533402185,0.1438784741418304
Czech Republic_2015,0.7721145745577083,0.6974479715100389,0.8603652753114681,0.8240234089246525,0.6922789780956503,0.04805131271402946,0.13426647233251246
Uruguay_2015,0.7679022746419544,0.6280451012174489,0.8621267552398678,0.7916118019995123,0.9012885789795886,0.4449638528020873,0.29200381967130723
Colombia_2015,0.7662173546756528,0.5434211616048082,0.884434080001141,0.6737576200926604,0.7983217117345796,0.09276874852783967,0.2312031964617781
Thailand_2015,0.7615838247683233,0.5719880266442658,0.9021629832481121,0.7203121189953671,0.8311409075298999,0.05774492217934081,0.7241041363019551
Saudi Arabia_2015,0.7523167649536646,0.825481241348304,0.7730044286600628,0.7025115825408437,0.4635898048467293,0.5892989799061441,0.1722118912398854
Spain_2015,0.735046335299073,0.7276948923936063,0.9369290344665284,0.9320848573518654,0.6861123139175489,0.1159246978674059,0.2290169372267176
Malta_2015,0.7293597304128053,0.7142603613303202,0.9285423931879936,0.8653596683735675,0.901333373150374,0.2461633237303183,0.6502487812233
Kuwait_2015,0.7278854254422913,0.9194283077578354,0.8314898411815466,0.7070665691294806,0.8286772281367117,0.46400681270497,0.2039000854400161
Suriname_2015,0.7224094355518111,0.5888122478437311,0.6931815750625789,0.5932211655693733,0.8907619488450568,0.24701491185157,0.21348695783283908
Trinidad and Tobago_2015,0.7011373209772532,0.7168810118195478,0.8440412771086057,0.5996878810046329,0.8344258133874844,0.020655541664401804,0.4001105694325778
