Country_Year,GNI_per_cap,Labor_force,Life_expectancy,Population
Latvia_2015,15010.0,1008394.0,74.4804878048781,1977527.0
Latvia_2016,14600.0,1006942.0,74.58048780487799,1959537.0
Latvia_2017,14720.0,1003688.0,74.62926829268291,1942248.0
Latvia_2018,16520.0,1000226.0,74.78292682926829,1927174.0
Morocco_2015,3020.0,11817891.0,75.726,34663603.0
Morocco_2016,2880.0,11780964.0,75.97399999999999,35126296.0
Morocco_2017,2880.0,11742989.0,76.218,35581294.0
Morocco_2018,3090.0,11918297.0,76.453,36029138.0
Moldova_2015,3300.0,1052791.0,71.47800000000001,2834530.0
Moldova_2016,3180.0,1009773.0,71.617,2802170.0
Moldova_2017,3330.0,982127.0,71.717,2755158.0
Moldova_2018,3930.0,988570.0,71.808,2706049.0
Madagascar_2015,490.0,12238090.0,65.539,24234088.0
Madagascar_2016,470.0,12620212.0,65.931,24894380.0
Madagascar_2017,470.0,13010466.0,66.311,25570540.0
Madagascar_2018,510.0,13409202.0,66.681,26262368.0
Mexico_2015,10170.0,53574700.0,74.904,121858258.0
Mexico_2016,9400.0,54396002.0,74.917,123333376.0
Mexico_2017,8930.0,55131907.0,74.947,124777324.0
Mexico_2018,9180.0,56253063.0,74.992,126190788.0
North Macedonia_2015,5110.0,960040.0,75.406,2079328.0
North Macedonia_2016,4980.0,952035.0,75.498,2080745.0
North Macedonia_2017,4920.0,957156.0,75.589,2081996.0
North Macedonia_2018,5470.0,959864.0,75.688,2082958.0
Mali_2015,800.0,6450183.0,57.50899999999999,17438778.0
Mali_2016,780.0,6651300.0,57.986999999999995,17965429.0
Mali_2017,770.0,6863272.0,58.452,18512394.0
Mali_2018,840.0,7086706.0,58.893,19077690.0
Malta_2015,24680.0,208231.0,81.89756097560979,445053.0
Malta_2016,23580.0,215515.0,82.45365853658541,455356.0
Malta_2017,23570.0,223557.0,82.34634146341459,467999.0
Malta_2018,26350.0,235579.0,82.44878048780491,484630.0
Myanmar_2015,1260.0,24925876.0,65.81,52680726.0
Myanmar_2016,1280.0,24611006.0,66.205,53045226.0
Myanmar_2017,1290.0,24283550.0,66.558,53382581.0
Myanmar_2018,1370.0,24470007.0,66.867,53708395.0
Montenegro_2015,7260.0,268047.0,76.452,622159.0
Montenegro_2016,7090.0,271005.0,76.568,622303.0
Montenegro_2017,7410.0,271367.0,76.667,622373.0
Montenegro_2018,8440.0,277016.0,76.77,622227.0
Mongolia_2015,3820.0,1287072.0,69.111,2998439.0
Mongolia_2016,3500.0,1278706.0,69.321,3056359.0
Mongolia_2017,3230.0,1306828.0,69.509,3113779.0
Mongolia_2018,3630.0,1319351.0,69.689,3170208.0
